"Bartoletti, Massimo"," Bellomy, Bryn"
"Bartoletti, Massimo"," Pompianu, Livio"
" Bellomy, Bryn"," Pompianu, Livio"
"Lapteva, Elena V."," Ostroumov, Vladimir V."
"Lapteva, Elena V."," Skvortsova, Elena M."
" Ostroumov, Vladimir V."," Skvortsova, Elena M."
"Wu, Yan"," Luo, Anthony"
"Wu, Yan"," Xu, Dianxiang"
" Luo, Anthony"," Xu, Dianxiang"
"Schilling, Linda"," Uhlig, Harald"
"Murko, Aleksander"," Vrhovec, Simon L. R."
"Chan, Wing Hong", Minh Le
"Chan, Wing Hong"," Wu, Yan Wendy"
 Minh Le," Wu, Yan Wendy"
"Catania, Leopoldo"," Sandholdt, Mads"
"Pal, Debdatta"," Mitra, Subrata K."
"Erfani, Shervin"," Ahmadi, Majid"
"Atzei, Nicola"," Bartoletti, Massimo"
"Atzei, Nicola"," Lande, Stefano"
"Atzei, Nicola"," Yoshida, Nobuko"
"Atzei, Nicola"," Zunino, Roberto"
" Bartoletti, Massimo"," Lande, Stefano"
" Bartoletti, Massimo"," Yoshida, Nobuko"
" Bartoletti, Massimo"," Zunino, Roberto"
" Lande, Stefano"," Yoshida, Nobuko"
" Lande, Stefano"," Zunino, Roberto"
" Yoshida, Nobuko"," Zunino, Roberto"
"Philippas, Dionisis"," Rjiba, Hatem"
"Philippas, Dionisis"," Guesmi, Khaled"
"Philippas, Dionisis"," Goutte, Stephane"
" Rjiba, Hatem"," Guesmi, Khaled"
" Rjiba, Hatem"," Goutte, Stephane"
" Guesmi, Khaled"," Goutte, Stephane"
"Rane, Prachi Vivek"," Dhage, Sudhir N."
"Pachal, Soumen"," Ruj, Sushmita"
"Zola, Francesco"," Eguimendia, Maria"
"Zola, Francesco"," Bruse, Jan Lukas"
"Zola, Francesco"," Urrutia, Raul Orduna"
" Eguimendia, Maria"," Bruse, Jan Lukas"
" Eguimendia, Maria"," Urrutia, Raul Orduna"
" Bruse, Jan Lukas"," Urrutia, Raul Orduna"
"Knittel, Megan L."," Wash, Rick"
"Giudici, Paolo"," Abu-Hashish, Iman"
"Lo, Yuen C."," Medda, Francesca"
"Chaim, Pedro"," Laurini, Marcio P."
Li Xuelian, Wang Haiyu
Li Xuelian, Gao Juntao
Li Xuelian, Li Wei
 Wang Haiyu, Gao Juntao
 Wang Haiyu, Li Wei
 Gao Juntao, Li Wei
"Holub, Mark"," Johnson, Jackie"
"Shen, Dehua"," Urquhart, Andrew"
"Shen, Dehua"," Wang, Pengfei"
" Urquhart, Andrew"," Wang, Pengfei"
"Yuzvovich, L., I"," Isakova, N. Yu"
"Yuzvovich, L., I"," Mokeeva, N. N."
" Isakova, N. Yu"," Mokeeva, N. N."
"Gemici, Eray"," Polat, Muslum"
Thai Vu Hong Nguyen, Binh Thanh Nguyen
Thai Vu Hong Nguyen, Thanh Cong Nguyen
Thai Vu Hong Nguyen, Quang Quoc Nguyen
 Binh Thanh Nguyen, Thanh Cong Nguyen
 Binh Thanh Nguyen, Quang Quoc Nguyen
 Thanh Cong Nguyen, Quang Quoc Nguyen
"Bannier, Christina"," Meyll, Tobias"
"Bannier, Christina"," Roeder, Florian"
"Bannier, Christina"," Walter, Andreas"
" Meyll, Tobias"," Roeder, Florian"
" Meyll, Tobias"," Walter, Andreas"
" Roeder, Florian"," Walter, Andreas"
"Shin, Hye-yeong"," Kim, DaeYong"
"Shin, Hye-yeong"," Maeng, SooHoon"
"Shin, Hye-yeong"," Lee, Kiyoung"
"Shin, Hye-yeong"," Ju, Hongtaek"
" Kim, DaeYong"," Maeng, SooHoon"
" Kim, DaeYong"," Lee, Kiyoung"
" Kim, DaeYong"," Ju, Hongtaek"
" Maeng, SooHoon"," Lee, Kiyoung"
" Maeng, SooHoon"," Ju, Hongtaek"
" Lee, Kiyoung"," Ju, Hongtaek"
"Merediz-Sola, Ignasi"," Bariviera, Aurelio F."
"Sun, Yujing"," Xiong, Hao"
"Sun, Yujing"," Yiu, Siu Ming"
"Sun, Yujing"," Lam, Kwok Yan"
" Xiong, Hao"," Yiu, Siu Ming"
" Xiong, Hao"," Lam, Kwok Yan"
" Yiu, Siu Ming"," Lam, Kwok Yan"
"Maesa, Damiano Di Francesco"," Marino, Andrea"
"Maesa, Damiano Di Francesco"," Ricci, Laura"
" Marino, Andrea"," Ricci, Laura"
"Baig, Ahmed"," Blau, Benjamin M."
"Baig, Ahmed"," Sabah, Nasim"
" Blau, Benjamin M."," Sabah, Nasim"
"Lavi, Ron"," Sattath, Or"
"Lavi, Ron"," Zohar, Aviv"
" Sattath, Or"," Zohar, Aviv"
"Pedrosa, Alejandro Ranchal"," Potop-Butucaru, Maria"
"Pedrosa, Alejandro Ranchal"," Tucci-Piergiovanni, Sara"
" Potop-Butucaru, Maria"," Tucci-Piergiovanni, Sara"
"Munim, Ziaul Haque"," Shakil, Mohammad Hassan"
"Munim, Ziaul Haque"," Alon, Ilan"
" Shakil, Mohammad Hassan"," Alon, Ilan"
"Eross, Andrea"," McGroarty, Frank"
"Eross, Andrea"," Urquhart, Andrew"
"Eross, Andrea"," Wolfe, Simon"
